therm,ambient_temp,timestamp,has_puddle,gyr,has_motion
"[[Decimal('17'), Decimal('17.25'), Decimal('16.5'), Decimal('17.5'), Decimal('17.25'), Decimal('17.5'), Decimal('17.5'), Decimal('16.75')], [Decimal('17'), Decimal('17.5'), Decimal('17'), Decimal('16.75'), Decimal('17.25'), Decimal('17.5'), Decimal('17.25'), Decimal('17.75')], [Decimal('17.25'), Decimal('17.25'), Decimal('17.5'), Decimal('16'), Decimal('16.75'), Decimal('17.75'), Decimal('17'), Decimal('17.75')], [Decimal('17'), Decimal('17'), Decimal('17.25'), Decimal('17.5'), Decimal('17.25'), Decimal('17.5'), Decimal('17.5'), Decimal('17')], [Decimal('17.25'), Decimal('17'), Decimal('17.25'), Decimal('17.5'), Decimal('17.5'), Decimal('17.25'), Decimal('16.75'), Decimal('17')], [Decimal('16'), Decimal('16.5'), Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('17'), Decimal('17.75')], [Decimal('17'), Decimal('16.25'), Decimal('17'), Decimal('17.25'), Decimal('16.5'), Decimal('17.5'), Decimal('17.5'), Decimal('17.25')], [Decimal('16.75'), Decimal('16.5'), Decimal('16.75'), Decimal('16.75'), Decimal('17.25'), Decimal('17.5'), Decimal('17'), Decimal('16.75')]]",25.659411764705883,1708000335232,1,"{'x': Decimal('-1.5801526717557253'), 'y': Decimal('0.7709923664122137'), 'z': Decimal('0.7099236641221374')}",0
"[[Decimal('16.25'), Decimal('16.75'), Decimal('16.25'), Decimal('16.5'), Decimal('16.5'), Decimal('16.5'), Decimal('16.5'), Decimal('16.25')], [Decimal('16.5'), Decimal('16.5'), Decimal('16.5'), Decimal('16.25'), Decimal('16.5'), Decimal('16.5'), Decimal('16'), Decimal('16.5')], [Decimal('16.5'), Decimal('16.75'), Decimal('16.75'), Decimal('16.5'), Decimal('17'), Decimal('16.25'), Decimal('16'), Decimal('16.75')], [Decimal('16.25'), Decimal('17'), Decimal('16.5'), Decimal('17'), Decimal('17.25'), Decimal('17'), Decimal('16.75'), Decimal('16.75')], [Decimal('16.5'), Decimal('16.5'), Decimal('16'), Decimal('16.75'), Decimal('17.25'), Decimal('17.25'), Decimal('16.5'), Decimal('17')], [Decimal('16.5'), Decimal('16.25'), Decimal('16.5'), Decimal('17.25'), Decimal('17.25'), Decimal('17.25'), Decimal('16.5'), Decimal('17')], [Decimal('16.25'), Decimal('16.25'), Decimal('16.5'), Decimal('17'), Decimal('16.75'), Decimal('17.75'), Decimal('17'), Decimal('16.5')], [Decimal('17.25'), Decimal('17'), Decimal('17'), Decimal('16.75'), Decimal('17.5'), Decimal('17.25'), Decimal('16.75'), Decimal('17.25')]]",25.80058823529412,1708003652573,0,"{'x': Decimal('-1.5190839694656488'), 'y': Decimal('0.6717557251908397'), 'z': Decimal('0.5725190839694656')}",0
"[[Decimal('18.75'), Decimal('18.75'), Decimal('17.75'), Decimal('18.5'), Decimal('18.5'), Decimal('18.75'), Decimal('18.75'), Decimal('17.75')], [Decimal('18.25'), Decimal('18.25'), Decimal('18.25'), Decimal('18.25'), Decimal('18.75'), Decimal('18.5'), Decimal('18.5'), Decimal('18.75')], [Decimal('18.5'), Decimal('18.75'), Decimal('19'), Decimal('18'), Decimal('18.5'), Decimal('18.25'), Decimal('18.5'), Decimal('18.75')], [Decimal('18.25'), Decimal('18.5'), Decimal('19.75'), Decimal('18.75'), Decimal('19'), Decimal('19'), Decimal('18.75'), Decimal('18.25')], [Decimal('18.5'), Decimal('19'), Decimal('21.5'), Decimal('18.25'), Decimal('18.5'), Decimal('18.5'), Decimal('18.25'), Decimal('18.75')], [Decimal('18.5'), Decimal('18.75'), Decimal('21.75'), Decimal('18.75'), Decimal('18.75'), Decimal('18.5'), Decimal('18.75'), Decimal('19')], [Decimal('19.75'), Decimal('19.75'), Decimal('21.75'), Decimal('19.5'), Decimal('17.75'), Decimal('18.75'), Decimal('18.75'), Decimal('18.5')], [Decimal('19'), Decimal('22.25'), Decimal('21.25'), Decimal('18.25'), Decimal('18.5'), Decimal('18.25'), Decimal('18'), Decimal('19')]]",24.577058823529413,1707998703738,1,"{'x': Decimal('-1.4961832061068703'), 'y': Decimal('0.7633587786259542'), 'z': Decimal('0.732824427480916')}",1
"[[Decimal('16.75'), Decimal('17.5'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('17.25'), Decimal('17'), Decimal('16.75')], [Decimal('17.5'), Decimal('16.75'), Decimal('17'), Decimal('16.75'), Decimal('16.75'), Decimal('18'), Decimal('16.75'), Decimal('17.5')], [Decimal('17'), Decimal('16.5'), Decimal('17.5'), Decimal('16.25'), Decimal('17'), Decimal('17.25'), Decimal('16.5'), Decimal('17.5')], [Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('17.5'), Decimal('17.5'), Decimal('17.75'), Decimal('16.5'), Decimal('17.25')], [Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('17.5'), Decimal('17.25'), Decimal('17.5'), Decimal('17'), Decimal('17')], [Decimal('16.25'), Decimal('16.5'), Decimal('16.75'), Decimal('17'), Decimal('17'), Decimal('17.25'), Decimal('17.75'), Decimal('17.25')], [Decimal('17.25'), Decimal('16.75'), Decimal('17'), Decimal('17'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('16.5')], [Decimal('16.5'), Decimal('17'), Decimal('16.5'), Decimal('16.75'), Decimal('17.5'), Decimal('17'), Decimal('17'), Decimal('16.75')]]",25.61235294117647,1708000663734,1,"{'x': Decimal('-1.5572519083969465'), 'y': Decimal('1.0763358778625953'), 'z': Decimal('0.7938931297709924')}",0
"[[Decimal('17.75'), Decimal('17'), Decimal('17.25'), Decimal('17.75'), Decimal('17.25'), Decimal('17.5'), Decimal('17.75'), Decimal('16.75')], [Decimal('17.25'), Decimal('17.5'), Decimal('17.25'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('17'), Decimal('17.5')], [Decimal('17.25'), Decimal('16.75'), Decimal('17.25'), Decimal('16.25'), Decimal('16.75'), Decimal('17.75'), Decimal('17'), Decimal('17.75')], [Decimal('17'), Decimal('17.25'), Decimal('17.5'), Decimal('17.25'), Decimal('17.5'), Decimal('18'), Decimal('17.5'), Decimal('17.75')], [Decimal('17.25'), Decimal('16.75'), Decimal('17'), Decimal('17.75'), Decimal('18'), Decimal('18'), Decimal('17.25'), Decimal('17')], [Decimal('16.75'), Decimal('16'), Decimal('17.5'), Decimal('17'), Decimal('17.5'), Decimal('17.25'), Decimal('17.75'), Decimal('17.5')], [Decimal('17'), Decimal('17.25'), Decimal('16.75'), Decimal('17.5'), Decimal('17.25'), Decimal('18'), Decimal('17.75'), Decimal('17')], [Decimal('16.75'), Decimal('17.25'), Decimal('16.75'), Decimal('17'), Decimal('17.5'), Decimal('17.75'), Decimal('17'), Decimal('17.25')]]",24.53,1707999360724,1,"{'x': Decimal('-1.5648854961832062'), 'y': Decimal('0.7022900763358778'), 'z': Decimal('0.5038167938931297')}",0
"[[Decimal('17.25'), Decimal('17.75'), Decimal('16'), Decimal('17.5'), Decimal('17.75'), Decimal('18'), Decimal('17.75'), Decimal('16.5')], [Decimal('17.25'), Decimal('17'), Decimal('17.5'), Decimal('17'), Decimal('17.75'), Decimal('17.75'), Decimal('17.25'), Decimal('17')], [Decimal('17.25'), Decimal('16.75'), Decimal('17'), Decimal('17'), Decimal('17.75'), Decimal('17.5'), Decimal('16.75'), Decimal('17.5')], [Decimal('16.25'), Decimal('17'), Decimal('18'), Decimal('17'), Decimal('17.5'), Decimal('17.75'), Decimal('17'), Decimal('17.5')], [Decimal('17.5'), Decimal('16.5'), Decimal('16.75'), Decimal('17'), Decimal('17.75'), Decimal('17.25'), Decimal('17.25'), Decimal('16.75')], [Decimal('15.75'), Decimal('16.25'), Decimal('16.25'), Decimal('17'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('16.5')], [Decimal('16'), Decimal('16.75'), Decimal('16.75'), Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('16.5')], [Decimal('17'), Decimal('16.75'), Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('17'), Decimal('17'), Decimal('16.75')]]",25.80058823529412,1708005269630,1,"{'x': Decimal('-1.5572519083969465'), 'y': Decimal('0.7480916030534351'), 'z': Decimal('0.6106870229007634')}",0
"[[Decimal('20.75'), Decimal('21.25'), Decimal('21.25'), Decimal('21.25'), Decimal('21'), Decimal('23.25'), Decimal('21.5'), Decimal('20.75')], [Decimal('20.75'), Decimal('20.75'), Decimal('20.75'), Decimal('21.25'), Decimal('21.5'), Decimal('21.75'), Decimal('21.75'), Decimal('20.75')], [Decimal('20.5'), Decimal('20.5'), Decimal('21.75'), Decimal('21.25'), Decimal('21.75'), Decimal('21.75'), Decimal('21.25'), Decimal('21.5')], [Decimal('20.5'), Decimal('21.75'), Decimal('21.75'), Decimal('22.25'), Decimal('22'), Decimal('22.5'), Decimal('21.5'), Decimal('21')], [Decimal('20.75'), Decimal('22.5'), Decimal('21.75'), Decimal('22'), Decimal('22'), Decimal('22'), Decimal('21.75'), Decimal('21.25')], [Decimal('21.5'), Decimal('22.25'), Decimal('22.25'), Decimal('22.25'), Decimal('22.5'), Decimal('21.75'), Decimal('22'), Decimal('21.25')], [Decimal('22.5'), Decimal('22.25'), Decimal('22.5'), Decimal('23'), Decimal('22'), Decimal('22.25'), Decimal('22.25'), Decimal('20.5')], [Decimal('23.25'), Decimal('23'), Decimal('22.25'), Decimal('23'), Decimal('22.75'), Decimal('22.75'), Decimal('22.25'), Decimal('22')]]",22.08294117647059,1707998055937,0,"{'x': Decimal('-1.4732824427480915'), 'y': Decimal('1.0610687022900764'), 'z': Decimal('0.8473282442748091')}",1
"[[Decimal('18'), Decimal('17.5'), Decimal('17.25'), Decimal('18'), Decimal('17.75'), Decimal('17.5'), Decimal('17.75'), Decimal('17.25')], [Decimal('17.5'), Decimal('17.75'), Decimal('18'), Decimal('18.25'), Decimal('17.75'), Decimal('18'), Decimal('18'), Decimal('18')], [Decimal('17.5'), Decimal('17.5'), Decimal('18'), Decimal('17.75'), Decimal('18'), Decimal('18'), Decimal('17.5'), Decimal('17.75')], [Decimal('17.25'), Decimal('17.75'), Decimal('18.5'), Decimal('18.5'), Decimal('18.25'), Decimal('18'), Decimal('17.5'), Decimal('17.75')], [Decimal('17.75'), Decimal('17.5'), Decimal('19'), Decimal('19.25'), Decimal('18.5'), Decimal('18.5'), Decimal('18.25'), Decimal('17.5')], [Decimal('17.25'), Decimal('18'), Decimal('18.5'), Decimal('19.75'), Decimal('18'), Decimal('18'), Decimal('18.25'), Decimal('17.75')], [Decimal('17.5'), Decimal('18.25'), Decimal('20'), Decimal('21'), Decimal('17.5'), Decimal('18'), Decimal('18.5'), Decimal('17.75')], [Decimal('17.75'), Decimal('18.25'), Decimal('18'), Decimal('18.25'), Decimal('18'), Decimal('18.25'), Decimal('17.5'), Decimal('17.75')]]",25.847647058823533,1708004371538,1,"{'x': Decimal('-1.549618320610687'), 'y': Decimal('0.7480916030534351'), 'z': Decimal('0.6564885496183206')}",1
"[[Decimal('17.25'), Decimal('17.5'), Decimal('16.5'), Decimal('17.5'), Decimal('17.25'), Decimal('17'), Decimal('17'), Decimal('17')], [Decimal('17.5'), Decimal('18'), Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('18'), Decimal('16.75'), Decimal('17.5')], [Decimal('17'), Decimal('17'), Decimal('17'), Decimal('17.5'), Decimal('18'), Decimal('17.25'), Decimal('17'), Decimal('17.5')], [Decimal('17'), Decimal('17.25'), Decimal('17.5'), Decimal('17.5'), Decimal('17.75'), Decimal('18.25'), Decimal('17.5'), Decimal('17.5')], [Decimal('17'), Decimal('16.5'), Decimal('16.75'), Decimal('17.5'), Decimal('17.75'), Decimal('17.75'), Decimal('17.25'), Decimal('17.5')], [Decimal('16.5'), Decimal('16'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('17.25'), Decimal('17.25'), Decimal('17.25')], [Decimal('17.25'), Decimal('17.25'), Decimal('17'), Decimal('17.25'), Decimal('16.75'), Decimal('18'), Decimal('17.5'), Decimal('17.25')], [Decimal('17.25'), Decimal('16.75'), Decimal('16.5'), Decimal('16.75'), Decimal('17.5'), Decimal('17.75'), Decimal('17.25'), Decimal('17.25')]]",26.64764705882353,1708002676002,0,"{'x': Decimal('-1.5725190839694656'), 'y': Decimal('0.5877862595419847'), 'z': Decimal('0.3435114503816794')}",0
"[[Decimal('17'), Decimal('17'), Decimal('16.5'), Decimal('16.75'), Decimal('16.5'), Decimal('17.25'), Decimal('17.25'), Decimal('16.25')], [Decimal('17'), Decimal('16.75'), Decimal('16.75'), Decimal('16.5'), Decimal('16.5'), Decimal('17.5'), Decimal('16.75'), Decimal('17.25')], [Decimal('16.75'), Decimal('17'), Decimal('17.25'), Decimal('17.25'), Decimal('17'), Decimal('17'), Decimal('16.25'), Decimal('17')], [Decimal('16.25'), Decimal('16.5'), Decimal('17.5'), Decimal('17'), Decimal('17.5'), Decimal('17.25'), Decimal('17'), Decimal('17')], [Decimal('16.75'), Decimal('16.75'), Decimal('17'), Decimal('17.5'), Decimal('17.5'), Decimal('17.75'), Decimal('16.25'), Decimal('17')], [Decimal('16.5'), Decimal('16.25'), Decimal('17'), Decimal('17'), Decimal('17'), Decimal('17'), Decimal('17.5'), Decimal('17.5')], [Decimal('16.75'), Decimal('16.75'), Decimal('16.5'), Decimal('17'), Decimal('16.5'), Decimal('17.25'), Decimal('16.5'), Decimal('17')], [Decimal('16.75'), Decimal('17'), Decimal('16'), Decimal('16.25'), Decimal('17.25'), Decimal('17.25'), Decimal('17'), Decimal('17')]]",25.941764705882356,1708004309857,0,"{'x': Decimal('-1.5267175572519085'), 'y': Decimal('0.7709923664122137'), 'z': Decimal('0.5648854961832062')}",0
